"State","Seasonally_adjusted_rates"
"Northern Mariana Islands",11.2
"American Samoa",11.4
"Puerto Rico",6.1
"Nevada",5.4
"District of Columbia",5.1
"California",4.6
"Delaware",4.2
"Texas",4.1
"Illinois",4
"New York",3.9
"Kentucky",3.8
"Pennsylvania",3.8
"Washington",3.8
"Alaska",3.7
"Connecticut",3.7
"New Jersey",3.7
"Louisiana",3.6
"Michigan",3.6
"Arizona",3.5
"New Mexico",3.5
"Oregon",3.5
"Ohio",3.4
"North Carolina",3.3
"West Virginia",3.3
"Georgia",3.2
"Indiana",3.2
"Tennessee",3.2
"Mississippi",3.1
"South Carolina",3.1
"Wyoming",3.1
"Hawaii",3
"Minnesota",2.9
"Rhode Island",2.9
"Colorado",2.8
"Kansas",2.8
"Idaho",2.7
"Iowa",2.7
"Oklahoma",2.7
"Virginia",2.7
"Arkansas",2.6
"Florida",2.6
"Massachusetts",2.6
"Missouri",2.6
"Wisconsin",2.5
"Maine",2.4
"Montana",2.4
"Utah",2.4
"Alabama",2.2
"Maryland",2
"North Dakota",2
"Nebraska",1.9
"Vermont",1.9
"New Hampshire",1.8
"South Dakota",1.8
